ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Convertible bonds (Bn. VND)
AAA,2020,1,4556885712745,288449896598,840336028767,2157057260454,1117690136735,153352390191,3211346013854,303850000000.0,2041133677870,234318421562.0,87418469641.0,,193251876387,7768231726599,4527286854655,3064318165019,1462968689636,3240944871944,3240944871944,0.0,597394578048,,305919884973,7768231726599,666946499238,656952666849.0,1117690136735,0.0,80481616464.0,1711999760000,1711999760000,1331854827553,101266475990,2422782999176,0.0,193062084803,0.0,20667470288.0,324517470288,0.0
AAA,2019,4,4974037160426,349695680985,1193801102192,2076686547123,1226217495156,127636334970,3016093225780,75700000000.0,2081106576065,222816109964.0,123559449802.0,,198463960700,7990130386206,4724198988433,3225628586083,1498570402350,3265931397773,3265931397773,0.0,610562025962,,331158506744,7990130386206,633032388359,536662966849.0,1226569964860,0.0,67258859051.0,1711999760000,1711999760000,1374510124549,98696555635,2397086597833,0.0,198274060283,0.0,20667470288.0,96367470288,0.0
AAA,2019,3,5114262229085,232025439569,1111500237504,2631685076927,992708266118,146343208967,2823801018553,0.0,2126713249523,110474976135.0,46180000000.0,,164897974729,7938063247638,4727606491958,3148309419335,1579297072623,3210456755680,3210456755680,0.0,551656902540,,334751095375,7938063247638,892272466349,281721152000.0,992708266118,0.0,67258859051.0,1711999760000,1711999760000,1443516244552,79228368836,2334836538044,0.0,164489650772,0.0,20667470288.0,20667470288,0.0
AAA,2019,2,5566536029038,271392032211,1096424484079,2903327855891,1126772362258,168619294599,2784771683883,0.0,2144952044113,95658391772.0,43180000000.0,,163218545702,8351307712921,5129086342647,3454979121357,1674107221290,3222221370274,3222221370274,0.0,573556482848,,324702125936,8351307712921,912663107595,497445582500.0,1127872132637,0.0,67258859051.0,1711999760000,1711999760000,1561978272487,36648061601,2629631283217,0.0,162293980769,0.0,20936778548.0,20936778548,0.0
AAA,2019,1,5617907775211,482425462169,733640155312,2723205105051,1524049539243,154587513436,2364164973886,0.0,2149528468564,0.0,38380000000.0,,53266028773,7982072749097,4857799855948,3524154034393,1333645821555,3124272893149,3124272893149,0.0,481202143830,,328000004807,7982072749097,732797553503,486330323580.0,1524049539243,0.0,57882870224.0,1711999760000,1711999760000,1320454387728,77297401655,2627375271180,0.0,52689694735,0.0,20586202467.0,20586202467,0.0
AAA,2018,4,3979369447153,645474843425,710906460274,1612785115376,862749230434,147453797644,3549797275250,0.0,2198807465735,0.0,58380000000.0,,63216753151,7529166722403,4548916573712,3206103405725,1342813167987,2980250148691,2980250148691,0.0,265860134664,,399364492474,7529166722403,531565397491,293698169669.0,865499747965,0.0,57775383144.0,1711999760000,1711999760000,1342803889822,43876545842,2492406692801,0.0,62507261342,0.0,21384352467.0,21384352467,0.0
AAA,2018,3,4217517644910,655415995968,436539699602,1374378419590,1632012045354,119171484396,2467927438122,0.0,2242515627789,0.0,40000000000.0,,62625750724,6685445083032,3758330813509,3046738247213,711592566296,2927114269523,2927114269523,0.0,191818252307,,420342536364,6685445083032,330077646355,201790309669.0,1632012045354,0.0,57775383144.0,1711999760000,1711999760000,711583708910,61692740101,2379470258877,0.0,62625355534,0.0,86800000.0,86800000,0.0
AAA,2018,2,3249517389758,610736511767,406539699602,1216552465560,900976173096,114712539733,3240181906882,0.0,2257110869796,0.0,40000000000.0,,52006965019,6489699296640,3600336216972,2826962893668,773373323304,2889363079668,2889363079668,0.0,185219340327,,429231453337,6489699296640,303432089790,245737603169.0,900976173096,0.0,57775383144.0,1671999760000,1671999760000,773364886697,32836828451,2184523275095,0.0,51938380273,0.0,86800000.0,86800000,0.0
AAA,2018,1,2378121710833,427747817583,30000000000,1101805581424,728011904178,90556407648,2408691768768,0.0,2296621660253,0.0,0.0,,44295845039,4786813479601,3273870677890,2135393276192,1138477401698,1512942801711,1512942801711,0.0,147513217577,,260143949319,4786813479601,400771559209,153512876781.0,728011904178,0.0,58084583163.0,835999880000,835999880000,1138477401698,27243556954,1646054232499,0.0,43774047582,0.0,0.0,0,0.0
AAA,2017,4,2142716548893,509577636533,50000000000,961381022420,536681725193,85076164747,2433440579906,0.0,2299486571152,0.0,0.0,,35832904857,4576157128799,2951186840177,1990803708402,960383131775,1624970288622,1624970288622,0.0,283769575300,,248117181134,4576157128799,325870456358,129729000000.0,536681725193,0.0,45683661717.0,835999880000,835999880000,959926578352,17127077695,1417686392234,0.0,35612756095,0.0,0.0,0,0.0
